gene	transcript	protein_change	score	pvalue	qvalue	info
GIN1	ENST00000399004	.	.	1.998347e-02	1	.
SPTA1	ENST00000368147	.	.	2.014026e-02	1	.
MAP2K4	ENST00000353533	.	.	2.067654e-02	1	.
OPN4	ENST00000372071	.	.	2.104836e-02	1	.
PLA2G3	ENST00000215885	.	.	2.115984e-02	1	.
GPR63	ENST00000229955	.	.	2.139666e-02	1	.
GABRA6	ENST00000274545	.	.	2.187746e-02	1	.
C11orf57	ENST00000393047	.	.	2.202950e-02	1	.
KISS1	ENST00000367194	.	.	2.204253e-02	1	.
NME6	ENST00000421967	.	.	2.212072e-02	1	.
CALR	ENST00000316448	.	.	2.235103e-02	1	.
PTTG2	ENST00000504686	.	.	2.251245e-02	1	.
IGFL1	ENST00000437936	.	.	2.274235e-02	1	.
GYPA	ENST00000360771	.	.	2.287032e-02	1	.
C2orf62	ENST00000289388	.	.	2.323865e-02	1	.
ARHGAP10	ENST00000336498	.	.	2.398522e-02	1	.
COMMD3	ENST00000376836	.	.	2.423590e-02	1	.
AP2B1	ENST00000312678	.	.	2.437433e-02	1	.
GIPC1	ENST00000393033	.	.	2.472009e-02	1	.
COQ6	ENST00000334571	.	.	2.488616e-02	1	.
FRA10AC1	ENST00000359204	.	.	2.500895e-02	1	.
MRPL35	ENST00000337109	.	.	2.544699e-02	1	.
CPS1	ENST00000430249	.	.	2.556468e-02	1	.
SEMA3E	ENST00000307792	.	.	2.565148e-02	1	.
HIST1H4K	ENST00000357549	.	.	2.584524e-02	1	.
HNRNPC	ENST00000320084	.	.	2.586746e-02	1	.
CLDN5	ENST00000406028	.	.	2.667611e-02	1	.
ATG5	ENST00000369076	.	.	2.678827e-02	1	.
FIG4	ENST00000230124	.	.	2.720359e-02	1	.
LHFPL4	ENST00000287585	.	.	2.755543e-02	1	.
FCRL1	ENST00000368176	.	.	2.766515e-02	1	.
IWS1	ENST00000295321	.	.	2.802437e-02	1	.
POLR2G	ENST00000301788	.	.	2.817920e-02	1	.
ARL9	ENST00000360096	.	.	2.889336e-02	1	.
CCT3	ENST00000295688	.	.	2.892505e-02	1	.
CISD3	ENST00000439660	.	.	2.931601e-02	1	.
SOCS6	ENST00000397942	.	.	2.967757e-02	1	.
CALML6	ENST00000307786	.	.	2.968925e-02	1	.
SLC35E1	ENST00000595753	.	.	2.969127e-02	1	.
ADAM12	ENST00000368679	.	.	2.979353e-02	1	.
UBXN1	ENST00000294119	.	.	2.985535e-02	1	.
URM1	ENST00000452446	.	.	2.992432e-02	1	.
ING5	ENST00000313552	.	.	3.003996e-02	1	.
ZNF7	ENST00000528372	.	.	3.010124e-02	1	.
ZMAT4	ENST00000297737	.	.	3.014035e-02	1	.
OCIAD2	ENST00000508632	.	.	3.054008e-02	1	.
HIST1H4C	ENST00000377803	.	.	3.081014e-02	1	.
S100A7A	ENST00000368729	.	.	3.098339e-02	1	.
PDSS2	ENST00000369037	.	.	3.104015e-02	1	.
NECAP1	ENST00000339754	.	.	3.183405e-02	1	.
SGTB	ENST00000381007	.	.	3.191369e-02	1	.
C11orf1	ENST00000260276	.	.	3.196672e-02	1	.
ZNF3	ENST00000303915	.	.	3.198542e-02	1	.
RHCG	ENST00000268122	.	.	3.207152e-02	1	.
PTP4A3	ENST00000521578	.	.	3.212102e-02	1	.
OR2J3	ENST00000377169	.	.	3.266822e-02	1	.
OR8H2	ENST00000313503	.	.	3.283717e-02	1	.
HIST1H2BM	ENST00000359465	.	.	3.284777e-02	1	.
FGFBP1	ENST00000382333	.	.	3.289149e-02	1	.
PCK1	ENST00000319441	.	.	3.330973e-02	1	.
LCE5A	ENST00000334269	.	.	3.360596e-02	1	.
OR4X2	ENST00000302329	.	.	3.395517e-02	1	.
KLK6	ENST00000376851	.	.	3.399971e-02	1	.
FAM124B	ENST00000409685	.	.	3.429045e-02	1	.
CWC27	ENST00000381070	.	.	3.437473e-02	1	.
OGN	ENST00000262551	.	.	3.438452e-02	1	.
C8orf22	ENST00000303202	.	.	3.524829e-02	1	.
STXBP1	ENST00000373302	.	.	3.547397e-02	1	.
NAA38	ENST00000249299	.	.	3.562324e-02	1	.
DNASE1L1	ENST00000369809	.	.	3.577727e-02	1	.
CEACAM4	ENST00000221954	.	.	3.578237e-02	1	.
KCNMB3	ENST00000349697	.	.	3.589801e-02	1	.
FETUB	ENST00000265029	.	.	3.589815e-02	1	.
RXRA	ENST00000481739	.	.	3.593936e-02	1	.
TOMM22	ENST00000216034	.	.	3.632685e-02	1	.
NKIRAS2	ENST00000307641	.	.	3.644165e-02	1	.
CCDC23	ENST00000372521	.	.	3.645883e-02	1	.
SLC10A1	ENST00000216540	.	.	3.666654e-02	1	.
EMCN	ENST00000296420	.	.	3.696403e-02	1	.
OR5H14	ENST00000437310	.	.	3.706648e-02	1	.
PCDHB16	ENST00000361016	.	.	3.722050e-02	1	.
RSAD2	ENST00000382040	.	.	3.727984e-02	1	.
C3	ENST00000245907	.	.	3.736557e-02	1	.
PDZD9	ENST00000537222	.	.	3.739720e-02	1	.
FHOD3	ENST00000257209	.	.	3.761540e-02	1	.
REEP6	ENST00000233596	.	.	3.795774e-02	1	.
ATP6V1D	ENST00000216442	.	.	3.803655e-02	1	.
PDRG1	ENST00000202017	.	.	3.814929e-02	1	.
PSMB5	ENST00000361611	.	.	3.859897e-02	1	.
PTRF	ENST00000357037	.	.	3.860251e-02	1	.
COL16A1	ENST00000373672	.	.	3.877263e-02	1	.
UBE2N	ENST00000318066	.	.	3.877500e-02	1	.
RTKN2	ENST00000395265	.	.	3.920814e-02	1	.
CEACAM3	ENST00000357396	.	.	3.922101e-02	1	.
RPS9	ENST00000302907	.	.	3.925405e-02	1	.
TAF1D	ENST00000448108	.	.	3.925600e-02	1	.
CLEC1B	ENST00000298527	.	.	3.928667e-02	1	.
CRISP1	ENST00000335847	.	.	3.936613e-02	1	.
NOP10	ENST00000328848	.	.	3.960625e-02	1	.
LEP	ENST00000308868	.	.	3.975681e-02	1	.
MT1M	ENST00000379818	.	.	3.980433e-02	1	.
IL1R1	ENST00000410023	.	.	3.984168e-02	1	.
HLA-B	ENST00000412585	.	.	3.995249e-02	1	.
ANXA13	ENST00000262219	.	.	4.026110e-02	1	.
PLEKHB2	ENST00000409158	.	.	4.038468e-02	1	.
CYP4A22	ENST00000371891	.	.	4.051083e-02	1	.
SPRR2A	ENST00000392653	.	.	4.068428e-02	1	.
PRR23A	ENST00000383163	.	.	4.073489e-02	1	.
EFEMP1	ENST00000394555	.	.	4.088206e-02	1	.
RCOR3	ENST00000419091	.	.	4.101502e-02	1	.
TMPRSS7	ENST00000419127	.	.	4.124334e-02	1	.
PGBD5	ENST00000525115	.	.	4.142697e-02	1	.
CXorf56	ENST00000371594	.	.	4.152296e-02	1	.
SIRPD	ENST00000381623	.	.	4.154199e-02	1	.
REEP5	ENST00000379638	.	.	4.165087e-02	1	.
PGLS	ENST00000252603	.	.	4.176835e-02	1	.
OR51V1	ENST00000321255	.	.	4.186273e-02	1	.
TADA2B	ENST00000310074	.	.	4.194318e-02	1	.
IVL	ENST00000368764	.	.	4.208065e-02	1	.
AXIN2	ENST00000307078	.	.	4.236358e-02	1	.
ABCA13	ENST00000435803	.	.	4.256806e-02	1	.
KRTAP1-3	ENST00000344363	.	.	4.319835e-02	1	.
EIF4E1B	ENST00000318682	.	.	4.331956e-02	1	.
PDCL2	ENST00000295645	.	.	4.343443e-02	1	.
TRPA1	ENST00000262209	.	.	4.350822e-02	1	.
SFT2D2	ENST00000271375	.	.	4.352597e-02	1	.
GNRH1	ENST00000276414	.	.	4.371334e-02	1	.
PFKFB1	ENST00000375006	.	.	4.374732e-02	1	.
MED28	ENST00000237380	.	.	4.403783e-02	1	.
HIST1H1C	ENST00000343677	.	.	4.410819e-02	1	.
GABRA1	ENST00000428797	.	.	4.435754e-02	1	.
MLST8	ENST00000569417	.	.	4.448219e-02	1	.
FLOT1	ENST00000376389	.	.	4.509188e-02	1	.
SLC25A12	ENST00000422440	.	.	4.513051e-02	1	.
SHFM1	ENST00000413065	.	.	4.559822e-02	1	.
SRM	ENST00000376957	.	.	4.575603e-02	1	.
C6orf47	ENST00000375911	.	.	4.613207e-02	1	.
ABHD10	ENST00000273359	.	.	4.639363e-02	1	.
LATS1	ENST00000543571	.	.	4.692158e-02	1	.
WAPAL	ENST00000298767	.	.	4.711554e-02	1	.
OPALIN	ENST00000371172	.	.	4.718362e-02	1	.
PTPN14	ENST00000366956	.	.	4.719465e-02	1	.
STUB1	ENST00000219548	.	.	4.730436e-02	1	.
RHOB	ENST00000272233	.	.	4.743025e-02	1	.
RCAN3	ENST00000374395	.	.	4.747117e-02	1	.
OR5K1	ENST00000332650	.	.	4.774292e-02	1	.
UBXN7	ENST00000296328	.	.	4.776731e-02	1	.
KIAA0513	ENST00000566428	.	.	4.820298e-02	1	.
ZNF488	ENST00000395702	.	.	4.844277e-02	1	.
GPX5	ENST00000412168	.	.	4.877974e-02	1	.
ADIPOQ	ENST00000412955	.	.	4.901296e-02	1	.
HOXA5	ENST00000222726	.	.	4.915238e-02	1	.
NR0B2	ENST00000254227	.	.	4.918084e-02	1	.
PRMT1	ENST00000454376	.	.	4.944492e-02	1	.
KCNK9	ENST00000520439	.	.	4.966814e-02	1	.
SPCS2	ENST00000263672	.	.	4.970537e-02	1	.
EMP2	ENST00000359543	.	.	4.981527e-02	1	.
C4orf45	ENST00000434826	.	.	4.991938e-02	1	.
THBS3	ENST00000368378	.	.	5.015761e-02	1	.
SDS	ENST00000257549	.	.	5.034887e-02	1	.
CAND1	ENST00000545606	.	.	5.073072e-02	1	.
MPV17L	ENST00000396385	.	.	5.102512e-02	1	.
LEAP2	ENST00000296877	.	.	5.110475e-02	1	.
SPAG6	ENST00000376624	.	.	5.133804e-02	1	.
UCP1	ENST00000262999	.	.	5.137497e-02	1	.
PAGE2	ENST00000374968	.	.	5.167495e-02	1	.
PLA2G2F	ENST00000375102	.	.	5.170652e-02	1	.
PDE1C	ENST00000396193	.	.	5.218854e-02	1	.
VWDE	ENST00000275358	.	.	5.242459e-02	1	.
FRZB	ENST00000295113	.	.	5.247028e-02	1	.
CRP	ENST00000255030	.	.	5.264505e-02	1	.
LDB1	ENST00000425280	.	.	5.270304e-02	1	.
PPP2CB	ENST00000221138	.	.	5.270974e-02	1	.
XPO6	ENST00000304658	.	.	5.271656e-02	1	.
HMG20A	ENST00000381714	.	.	5.322122e-02	1	.
OPRM1	ENST00000434900	.	.	5.333401e-02	1	.
APCS	ENST00000255040	.	.	5.340553e-02	1	.
ITGB5	ENST00000296181	.	.	5.350640e-02	1	.
TSKU	ENST00000527881	.	.	5.362713e-02	1	.
VGLL1	ENST00000370634	.	.	5.363078e-02	1	.
KCNA10	ENST00000369771	.	.	5.376084e-02	1	.
TUSC3	ENST00000503731	.	.	5.378042e-02	1	.
SULT1C4	ENST00000272452	.	.	5.380678e-02	1	.
OR2T27	ENST00000344889	.	.	5.393809e-02	1	.
HAUS1	ENST00000282058	.	.	5.398832e-02	1	.
FLT3LG	ENST00000594009	.	.	5.431904e-02	1	.
TACR3	ENST00000304883	.	.	5.473631e-02	1	.
CD80	ENST00000264246	.	.	5.489897e-02	1	.
SPRR2G	ENST00000368748	.	.	5.490727e-02	1	.
HSD11B1	ENST00000367028	.	.	5.511288e-02	1	.
REXO4	ENST00000371942	.	.	5.531289e-02	1	.
IDH2	ENST00000330062	.	.	5.572252e-02	1	.
OR5I1	ENST00000301532	.	.	5.573058e-02	1	.
ZNF227	ENST00000313040	.	.	5.579603e-02	1	.
POTEF	ENST00000357462	.	.	5.660949e-02	1	.
C5orf38	ENST00000334000	.	.	5.680696e-02	1	.
TOMM6	ENST00000398884	.	.	5.682888e-02	1	.
LMBR1	ENST00000353442	.	.	5.693697e-02	1	.
TMEM206	ENST00000535273	.	.	5.702135e-02	1	.
LCAT	ENST00000264005	.	.	5.715015e-02	1	.
TOB1	ENST00000499247	.	.	5.740530e-02	1	.
GORAB	ENST00000367763	.	.	5.747538e-02	1	.
CHPF	ENST00000243776	.	.	5.754157e-02	1	.
CDH18	ENST00000507958	.	.	5.768883e-02	1	.
OR10K2	ENST00000314902	.	.	5.778314e-02	1	.
PGLYRP4	ENST00000359650	.	.	5.815382e-02	1	.
TCN1	ENST00000257264	.	.	5.819906e-02	1	.
FLVCR1	ENST00000366971	.	.	5.825851e-02	1	.
SCLY	ENST00000254663	.	.	5.846189e-02	1	.
DCAF6	ENST00000367840	.	.	5.852655e-02	1	.
AP3S1	ENST00000316788	.	.	5.860921e-02	1	.
HEATR3	ENST00000299192	.	.	5.866913e-02	1	.
ACTC1	ENST00000290378	.	.	5.870200e-02	1	.
TMEM81	ENST00000367167	.	.	5.873703e-02	1	.
TTC13	ENST00000366661	.	.	5.901666e-02	1	.
C8orf31	ENST00000395172	.	.	5.930511e-02	1	.
PIK3CA	ENST00000263967	.	.	5.964656e-02	1	.
TMEM44	ENST00000392432	.	.	5.998166e-02	1	.
C8orf76	ENST00000276704	.	.	6.005559e-02	1	.
FCN1	ENST00000371806	.	.	6.013156e-02	1	.
OR4N5	ENST00000333629	.	.	6.019150e-02	1	.
SYCP2	ENST00000357552	.	.	6.050499e-02	1	.
PRG3	ENST00000287143	.	.	6.052929e-02	1	.
SIAH1	ENST00000356721	.	.	6.089410e-02	1	.
CHRM1	ENST00000306960	.	.	6.133554e-02	1	.
CDH1	ENST00000261769	.	.	6.137531e-02	1	.
PIK3R1	ENST00000521381	.	.	6.153736e-02	1	.
MELK	ENST00000298048	.	.	6.187343e-02	1	.
OR6C4	ENST00000394256	.	.	6.197824e-02	1	.
ELTD1	ENST00000370742	.	.	6.210778e-02	1	.
VDAC1	ENST00000265333	.	.	6.259509e-02	1	.
RNF123	ENST00000327697	.	.	6.264181e-02	1	.
PRSS21	ENST00000005995	.	.	6.268892e-02	1	.
CD300C	ENST00000330793	.	.	6.276382e-02	1	.
IRF9	ENST00000396864	.	.	6.278456e-02	1	.
ASPRV1	ENST00000320256	.	.	6.294355e-02	1	.
CYP11B1	ENST00000292427	.	.	6.299860e-02	1	.
OR4M1	ENST00000315957	.	.	6.325119e-02	1	.
OR5B17	ENST00000357377	.	.	6.380459e-02	1	.
ELAC1	ENST00000269466	.	.	6.388164e-02	1	.
CCDC13	ENST00000310232	.	.	6.405120e-02	1	.
ACOX2	ENST00000302819	.	.	6.420782e-02	1	.
SLFN11	ENST00000394566	.	.	6.427867e-02	1	.
RPP40	ENST00000380051	.	.	6.456122e-02	1	.
ID4	ENST00000378700	.	.	6.462522e-02	1	.
CDH9	ENST00000231021	.	.	6.475064e-02	1	.
ATP5L	ENST00000300688	.	.	6.486215e-02	1	.
HMGB1	ENST00000405805	.	.	6.491944e-02	1	.
JKAMP	ENST00000261247	.	.	6.508943e-02	1	.
KIAA0947	ENST00000296564	.	.	6.529509e-02	1	.
RGS7	ENST00000366565	.	.	6.533195e-02	1	.
HIPK2	ENST00000406875	.	.	6.561603e-02	1	.
FAM174A	ENST00000312637	.	.	6.563625e-02	1	.
DEPDC1	ENST00000456315	.	.	6.612504e-02	1	.
GUK1	ENST00000366728	.	.	6.614543e-02	1	.
AP3M2	ENST00000518421	.	.	6.641711e-02	1	.
ZNF880	ENST00000422689	.	.	6.651455e-02	1	.
KLF15	ENST00000296233	.	.	6.663572e-02	1	.
DYRK3	ENST00000367109	.	.	6.666982e-02	1	.
KRTAP10-7	ENST00000380102	.	.	6.698105e-02	1	.
SUV39H2	ENST00000354919	.	.	6.712790e-02	1	.
HOXA4	ENST00000360046	.	.	6.725552e-02	1	.
RGSL1	ENST00000294854	.	.	6.730703e-02	1	.
MVD	ENST00000301012	.	.	6.757504e-02	1	.
TCTA	ENST00000273590	.	.	6.765496e-02	1	.
COL6A6	ENST00000358511	.	.	6.789417e-02	1	.
EIF3J	ENST00000261868	.	.	6.795677e-02	1	.
COL5A1	ENST00000371817	.	.	6.797347e-02	1	.
TINAG	ENST00000259782	.	.	6.828036e-02	1	.
KLHL33	ENST00000344581	.	.	6.836529e-02	1	.
ADH5	ENST00000296412	.	.	6.876254e-02	1	.
HMGCS1	ENST00000325110	.	.	6.904568e-02	1	.
KIR2DL1	ENST00000336077	.	.	6.905434e-02	1	.
KLHDC4	ENST00000270583	.	.	6.953593e-02	1	.
GPR101	ENST00000298110	.	.	6.957984e-02	1	.
RBL2	ENST00000262133	.	.	6.987373e-02	1	.
JAM2	ENST00000400532	.	.	7.003548e-02	1	.
NR1I2	ENST00000337940	.	.	7.037702e-02	1	.
TMEM176B	ENST00000447204	.	.	7.057675e-02	1	.
GALNT12	ENST00000375011	.	.	7.093765e-02	1	.
NKAP	ENST00000371410	.	.	7.106881e-02	1	.
KIAA1407	ENST00000295878	.	.	7.117022e-02	1	.
UCN2	ENST00000273610	.	.	7.126583e-02	1	.
HAGHL	ENST00000389703	.	.	7.145818e-02	1	.
C11orf70	ENST00000434758	.	.	7.152631e-02	1	.
SPINT3	ENST00000217428	.	.	7.154570e-02	1	.
KRTAP9-3	ENST00000411528	.	.	7.157295e-02	1	.
SCP2	ENST00000371514	.	.	7.177761e-02	1	.
CALB1	ENST00000265431	.	.	7.255631e-02	1	.
E2F6	ENST00000381525	.	.	7.297236e-02	1	.
MMACHC	ENST00000401061	.	.	7.347906e-02	1	.
MAPK9	ENST00000452135	.	.	7.363968e-02	1	.
GPR4	ENST00000323040	.	.	7.375810e-02	1	.
CNTN2	ENST00000331830	.	.	7.378282e-02	1	.
NCF4	ENST00000397147	.	.	7.430141e-02	1	.
FBXL4	ENST00000369244	.	.	7.446567e-02	1	.
CHMP6	ENST00000325167	.	.	7.477525e-02	1	.
BTLA	ENST00000334529	.	.	7.482450e-02	1	.
CCS	ENST00000533244	.	.	7.513684e-02	1	.
WISP2	ENST00000372868	.	.	7.537520e-02	1	.
DLX5	ENST00000222598	.	.	7.569217e-02	1	.
TRIM13	ENST00000356017	.	.	7.587718e-02	1	.
KRTAP9-2	ENST00000377721	.	.	7.594539e-02	1	.
OR10G7	ENST00000330487	.	.	7.598203e-02	1	.
C3orf58	ENST00000315691	.	.	7.600514e-02	1	.
HLA-DMB	ENST00000418107	.	.	7.607498e-02	1	.
NMS	ENST00000376865	.	.	7.610467e-02	1	.
UBD	ENST00000377050	.	.	7.617638e-02	1	.
OR2G2	ENST00000320065	.	.	7.624124e-02	1	.
FAM179A	ENST00000379558	.	.	7.634952e-02	1	.
SMG7	ENST00000507469	.	.	7.635685e-02	1	.
SCRN3	ENST00000272732	.	.	7.677080e-02	1	.
TSC1	ENST00000298552	.	.	7.677575e-02	1	.
OR2M3	ENST00000456743	.	.	7.680072e-02	1	.
DUS4L	ENST00000265720	.	.	7.699108e-02	1	.
SLC6A11	ENST00000254488	.	.	7.708138e-02	1	.
CEACAM8	ENST00000244336	.	.	7.713647e-02	1	.
CYP2E1	ENST00000463117	.	.	7.726574e-02	1	.
LILRB5	ENST00000449561	.	.	7.758326e-02	1	.
CWF19L1	ENST00000354105	.	.	7.768252e-02	1	.
COX6B1	ENST00000246554	.	.	7.811883e-02	1	.
GPN2	ENST00000374135	.	.	7.826448e-02	1	.
KRT86	ENST00000293525	.	.	7.850084e-02	1	.
STX10	ENST00000587230	.	.	7.891174e-02	1	.
LGR6	ENST00000367278	.	.	7.963805e-02	1	.
CFP	ENST00000247153	.	.	7.993724e-02	1	.
CD5	ENST00000347785	.	.	7.995649e-02	1	.
ODF4	ENST00000328248	.	.	7.999574e-02	1	.
RNF145	ENST00000518802	.	.	8.006306e-02	1	.
TMEM203	ENST00000343666	.	.	8.018846e-02	1	.
